audio,Generated Speech,flag,username,timestamp
c:\Users\benve\Self python\BU\ChatBotWaiFu\My_AI_Assistant\flagged\audio\7e757c946d2bddbb7f7e625c59424aad23cab8c2\tmp_83jvwv_.wav,,,,2023-10-14 21:16:30.537703
c:\Users\benve\Self python\BU\ChatBotWaiFu\My_AI_Assistant\flagged\audio\2c3fafb85a34f3630f619c3c748f78cf3ea41c4e\tmplygocngd.wav,C:\Users\benve\Self python\BU\ChatBotWaiFu\My_AI_Assistant\flagged\Generated Speech\a66bd292ffb659c287d5a4ec9ef10fc80f84f39e\audio.wav,,,2023-10-15 09:54:01.233550
